City,Connection 1,Distance 1,Connection 2,Distance 2,Connection 3,Distance 3,Connection 4,Distance 4,Connection 5,Distance 5,Connection 6,Distance 6,Connection 7,Distance 7,Connection 8,Distance 8,Connection 9,Distance 9
Essen,Dusseldorf,28.977414330610387,Dortmund,32.252984037151826,Cologne,57.35280273665035,Frankfurt,189.67080975460635,Nijmegen,90.81492528914492,,,,,,,,
Bremen,Hamburg,95.11437472757683,Dortmund,196.37040880204705,Essen,218.47361777687175,Dusseldorf,247.45040415118453,,,,,,,,,,
Athens,Piraeus,8.46526599266191,Chalkida,54.44060189572752,Volos,168.49859321515768,Larisa,216.50846282399576,,,,,,,,,,
Thessaloniki,Larisa,119.4503442289092,Volos,141.6179087724231,Ioannina,207.64726173339017,Chalkida,248.6873136979534,Plovdiv,226.06256286465955,Kavadarci,117.2953913151636,,,,,,
Piraeus,Athens,8.46526599266191,Chalkida,57.9435031442902,Volos,170.0017152696741,Larisa,216.8943244959434,,,,,,,,,,
Irakleio,Chania,103.15180312878512,Rodos,303.90770747194017,Piraeus,318.3734099062263,Athens,319.6186233920621,,,,,,,,,,
Larisa,Volos,53.84674941330575,Thessaloniki,119.4503442289092,Ioannina,133.96040636980686,Chalkida,165.96395670975377,,,,,,,,,,
Volos,Larisa,53.84674941330575,Chalkida,115.69823080159273,Thessaloniki,141.6179087724231,Athens,168.49859321515768,,,,,,,,,,
Rodos,Irakleio,303.90770747194017,Chania,392.1237533164891,Athens,433.34469130443483,Piraeus,438.2921718247769,Antalya,227.12670841375945,,,,,,,,
Ioannina,Larisa,133.96040636980686,Volos,181.54343294869307,Thessaloniki,207.64726173339017,Chalkida,271.8536119601978,Gjirokaster,75.98464950233917,,,,,,,,
Chania,Irakleio,103.15180312878512,Piraeus,271.79685260783964,Athens,275.5751807019091,Chalkida,329.69107860515413,,,,,,,,,,
Chalkida,Athens,54.44060189572752,Piraeus,57.9435031442902,Volos,115.69823080159273,Larisa,165.96395670975377,,,,,,,,,,
Budapest,Szekesfehervar,58.594567106461454,Kecskemet,81.09962450977244,Gyor,108.38400625597126,Miskolc,137.3962798503521,,,,,,,,,,
Debrecen,Nyiregyhaza,47.503483026588356,Miskolc,95.18337110704587,Kecskemet,162.7544383895622,Szeged,181.62692847409284,Oradea,55.16496710377653,,,,,,,,
Szeged,Kecskemet,80.3270653252606,Pecs,148.6584652978624,Budapest,160.76025149709744,Szekesfehervar,168.6665605575814,Subotica,40.722430334095044,,,,,,,,
Miskolc,Nyiregyhaza,80.18715835634357,Debrecen,95.18337110704587,Budapest,137.3962798503521,Kecskemet,150.071143931146,,,,,,,,,,
Pecs,Szekesfehervar,125.79018326548366,Kecskemet,145.12404347382787,Szeged,148.6584652978624,Budapest,169.91938114648372,Osijek,67.5280897214961,,,,,,,,
